feature_id,feature_name,dimension_id,dimension_name,score,score_label,key_barrier,partial_analogue,reasoning
declared_inventory,Mandatory Declared Inventories,actor_type,Actor Type (State vs Private),4,High,Companies can be legally required to declare capabilities,EU AI Act Article 51 high-risk system registration,(Expert-scored; API unavailable)
elimination_verification,Verified Elimination Procedures,physical_inspectability,Physical Inspectability,1,Very Low,Model deletion is unverifiable — weights can be copied silently,Cryptographic weight hashing with trusted third-party escrow,(Expert-scored; API unavailable)
elimination_verification,Verified Elimination Procedures,geographic_concentration,Geographic Concentration,2,Low,Deletion must be verified across all copies in all jurisdictions,Multi-party deletion audit with cloud provider attestation,(Expert-scored; API unavailable)
elimination_verification,Verified Elimination Procedures,actor_type,Actor Type (State vs Private),3,Medium,Companies can be bound by deletion obligations via contract/law,Contractual model retirement with regulatory certification,(Expert-scored; API unavailable)
independent_body,Independent Verification Body,physical_inspectability,Physical Inspectability,3,Medium,Body can exist but lacks verification tools for AI internals,AI Safety Institute with interpretability audit capability,(Expert-scored; API unavailable)
independent_body,Independent Verification Body,geographic_concentration,Geographic Concentration,4,High,Independent body does not require geographic concentration,"International AI Safety Agency (proposed, IAEA analogue)",(Expert-scored; API unavailable)
independent_body,Independent Verification Body,actor_type,Actor Type (State vs Private),4,High,Companies can be audited by independent bodies via domestic law,Financial audit model: independent AI auditors with access rights,(Expert-scored; API unavailable)
quota_system,Inspection Quota System,physical_inspectability,Physical Inspectability,2,Low,Quotas imply physical visits; AI audits are not physical,Annual capability evaluation quotas per frontier lab,(Expert-scored; API unavailable)
quota_system,Inspection Quota System,geographic_concentration,Geographic Concentration,3,Medium,Quotas can apply to companies regardless of geography,Scheduled independent model evaluations per calendar year,(Expert-scored; API unavailable)
quota_system,Inspection Quota System,actor_type,Actor Type (State vs Private),3,Medium,Companies can be assigned audit quotas via domestic regulation,Mandatory red-team evaluations under AI executive order,(Expert-scored; API unavailable)
data_update_notifications,Real-Time Data Notifications,physical_inspectability,Physical Inspectability,4,High,"Notifications are data, not physical — directly transferable",Mandatory pre-training notifications above compute threshold,(Expert-scored; API unavailable)
data_update_notifications,Real-Time Data Notifications,geographic_concentration,Geographic Concentration,5,Very High,Notifications are entirely geography-agnostic,Real-time training run disclosure to national AI authority,(Expert-scored; API unavailable)
data_update_notifications,Real-Time Data Notifications,actor_type,Actor Type (State vs Private),4,High,Companies can be legally required to notify regulators,EU AI Act training notification; US executive order reporting,(Expert-scored; API unavailable)
